상품ID,카테고리명,상품명,가격,Image URL,부가_설명
1064584,판넬바스,밀란 7 스칸디 블랙,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064584_A1.jpg?v=20240724081423,"밀란7 스칸디블랙  모노톤 인테리어로 어디에나 잘 어울리는 욕실입니다. 블랙&화이트 컬러 매치와 소재들의 믹스&매치로 개성 있는 나만의 욕실을 꾸며보세요.  스칸디 블랙 플랩 상부장과 선반 매끈한 블랙 무광의 플랩장과 오픈 선반을 커스터마이징 해보세요. 보여주기 싫은 욕실 용품은 플랩장에, 자주 쓰는 화장품은 오픈 선반에 놓아 공간을 효율적으로 구성하세요.  스칸디 블랙 하부장 블랙 무광 프레임 타입의 하부장과 화이트 도기/선반의 믹스&매치 조화가 감각적인 욕실을 만듭니다. 하부 선반 위에는 대형 사이즈의 용품을 수납 해보세요.  청소와 관리가 용이한 안전한 욕실 휴플로어, 휴판넬 휴플로어는 특수 엠보싱 표면 가공으로 물에 젖은 상태에서도 미끄럽지 않고 안전하며, 휴판넬은 바닥부터 천장까지 이어지는 대형 판넬로 이음매를 최소화하여 청소와 관리가 용이합니다."
1064586,판넬바스,밀란 5 모노시티,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064586_A1.jpg?v=20240724081423,"밀란5 모노시티  화이트&그레이 컨셉의 빈티지 모던 욕실. 도시 속 자유로움을 즐기는 현대인을 위한 모노 시티 세트로 당신만의 시크한 욕실을 연출해보세요.  모노 시티 상부장과 사각 거울 멋스러운 반투명 플루트 무늬 유리와 블랙 알루미늄 프레임이 적용된 상부장과 시크한 분위기의 사각 거울이 빈티지한 무드를 연출해줍니다.  콘크리트 다크 그레이 휴판넬 콘크리트 질감이 느껴지는 다크 그레이 판넬로 로프트 하우스의 빈티지 모던 분위기를 연출합니다.  청소와 관리가 용이한 안전한 욕실 휴플로어, 휴판넬 휴플로어는 특수 엠보싱 표면 가공으로 물에 젖은 상태에서도 미끄럽지 않고 안전하며, 휴판넬은 바닥부터 천장까지 이어지는 대형 판넬로 이음매를 최소화하여 청소와 관리가 용이합니다."
977673,판넬바스,[특가~9/29]유로5 베일화이트,3327200,https://image.hanssem.com/hsimg/gds/1050/977/977673_A1.jpg?v=20250922100424,"유로5 베일화이트  카라라 패턴의 벽판넬과 투명한 컬러감의 화이트 수납장이 매치된 세미 클래식 스타일의 욕실입니다. 개성 있는 아이템을 포인트로 주어 특별한 욕실을 연출하세요.  오랜 시간이 흘러도 깨끗하게 사용할 수 있는 베일 화이트 수납장 새틴 글라스 도어는 허니콤 구조로 견고할 뿐만 아니라 오염, 변색에 강해 밝은 컬러감에도 유지 관리에 용이합니다.  공간에 포인트가 되는 LED 사각 조명거울 실용적인 LED조명 포인트가 있는 프리미엄급 거울로?욕실 공간에 포인트를 주세요. 더욱 환한 분위기를 연출할 수 있습니다.  청소와 관리가 용이한 안전한 욕실 휴플로어, 휴판넬 휴플로어는 특수 엠보싱 표면 가공으로 물에 젖은 상태에서도 미끄럽지 않고 안전하며, 휴판넬은 바닥부터 천장까지 이어지는 대형 판넬로 이음매를 최소화하여 청소와 관리가 용이합니다.  쉽게 녹슬지 않아 관리가 쉬워지는 편리성 한샘 바스는 내부 자재, 접착제, 부속 자재까지 E0 등급의 친환경 소재를 적용합니다.  원자재 자체가 튼튼하고 충격에 강한 안정성 대리석/유리 강도 테스트를 진행해 충격에 의한 안정성을 검증한 한샘 바스입니다."
977675,판넬바스,[특가~9/29]유로5 매트오크,3479200,https://image.hanssem.com/hsimg/gds/1050/977/977675_A1.jpg?v=20250922100320,"유로5 매트오크  자연 그대로를 느낄 수 있는 스톤재질의 벽과 우드결의 질감이 디자인을 완성하고, 스톤/우드 소재의 조화로운 매치가 특징인 내추럴 스타일의 욕실입니다.  내추럴 질감이 살아있는 매트 오크 상부장, 하부장 자연 그대로의 결이 살아있는 욕실 도어장을 만나보세요. 컴팩트한 사이즈의 가로 400 상부장으로 알차게 수납 가능하며, 오픈선반, 도어장이 구분된 하부장으로 체계적인 정리도 가능합니다.  매트 오크 비정형 조명 거울 조약돌을 모티브로 한 비정형 형태의 간접조명 거울은 공간을 아늑하고 따뜻하게 만들어줍니다. 가로 600, 1100 두가지 사이즈로 우리 집 욕실에 맞게 설치하세요.  청소와 관리가 용이한 안전한 욕실 휴플로어, 휴판넬 휴플로어는 특수 엠보싱 표면 가공으로 물에 젖은 상태에서도 미끄럽지 않고 안전하며, 휴판넬은 바닥부터 천장까지 이어지는 대형 판넬로 이음매를 최소화하여 청소와 관리가 용이합니다.  쉽게 녹슬지 않아 관리가 쉬워지는 편리성 한샘 바스는 내부 자재, 접착제, 부속 자재까지 E0 등급의 친환경 소재를 적용합니다.  원자재 자체가 튼튼하고 충격에 강한 안정성 대리석/유리 강도 테스트를 진행해 충격에 의한 안정성을 검증한 한샘 바스입니다."
1018697,판넬바스,[특가~9/29]모노시티 실속패키지 (1+1 욕실패키지),3241700,https://image.hanssem.com/hsimg/gds/1050/1018/1018697_A1.jpg?v=20250811102809,"밀란5 모노시티 실속패키지 (욕실 패키지 + 욕실 액세서리 3종 세트)  화이트 + 그레이 컨셉의 빈티지 모던 욕실. 도시 속 자유로움을 즐기는 현대인을 위한 모노 시티 세트로 당신만의 시크한 욕실을 연출해보세요.  모노 시티 상부장과 사각 거울 멋스러운 반투명 플루트 무늬 유리와 블랙 알루미늄 프레임이 적용된 상부장과 시크한 분위기의 사각 거울이 빈티지한 무드를 연출해줍니다.  콘크리트 다크 그레이 휴판넬 콘크리트 질감이 느껴지는 다크 그레이 판넬로 로프트 하우스의 빈티지 모던 분위기를 연출합니다.  청소와 관리가 용이한 안전한 욕실 휴플로어, 휴판넬 휴플로어는 특수 엠보싱 표면 가공으로 물에 젖은 상태에서도 미끄럽지 않고 안전하며, 휴판넬은 바닥부터 천장까지 이어지는 대형 판넬로 이음매를 최소화하여 청소와 관리가 용이합니다.  쉽게 녹슬지 않아 관리가 쉬워지는 편리성 한샘 바스는 내부 자재, 접착제, 부속 자재까지 E0 등급의 소재를 적용합니다.  원자재 자체가 튼튼하고 충격에 강한 안정성 대리석/유리 강도 테스트를 진행해 충격에 의한 안정성을 검증한 한샘 바스입니다."
1064591,판넬바스,밀란 5 스테디모던2,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064591_A1.jpg?v=20240724081423,"밀란5 스테디모던2  카라라 마블과 골드의 조합, 세미클래식 스타일 욕실. 넉넉한 수납이 가능한 은경 슬라이딩장 구성으로 디자인과 기능 모두 만족하는 세트입니다.  넉넉한 수납의 은경 슬라이딩장, 선반 온 가족이 함께 쓰는 공용 욕실의 많은 수납용품들과 수건을 슬라이딩장 안에 넉넉히 편리하게 보관하세요.  골드 샤워욕조수전 & 인조대리석 코너 선반 스퀘어 형태의 골드 샤워욕조수전과 슬라이딩바로 욕조에 포인트를 주세요. 화이트 코너 선반, 카라라 화이트 마감재와의 조화를 이룹니다.  청소와 관리가 용이한 안전한 욕실 휴플로어, 휴판넬 휴플로어는 특수 엠보싱 표면 가공으로 물에 젖은 상태에서도 미끄럽지 않고 안전하며, 휴판넬은 바닥부터 천장까지 이어지는 대형 판넬로 이음매를 최소화하여 청소와 관리가 용이합니다."
1064578,판넬바스,유로 5 베일화이트,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064578_A1.jpg?v=20240724081423,"유로5 베일화이트  카라라 패턴의 벽판넬과 투명한 컬러감의 화이트 수납장이 매치된 세미 클래식 스타일의 욕실입니다. 개성 있는 아이템을 포인트로 주어 특별한 욕실을 연출하세요.  오랜 시간이 흘러도 깨끗하게 사용할 수 있는 베일 화이트 수납장 새틴 글라스 도어는 허니콤 구조로 견고할 뿐만 아니라 오염, 변색에 강해 밝은 컬러감에도 유지 관리에 용이합니다.  클래식한 디자인의 베벨 프레임 거울 섬세한 가공 디테일이 돋보이는 프리미엄급 거울로 공간에 포인트를 주세요. 가로 600, 900 두가지 사이즈 중 우리 집 욕실에 알맞는 크기 선택이 가능합니다.  청소와 관리가 용이한 안전한 욕실 휴플로어, 휴판넬 휴플로어는 특수 엠보싱 표면 가공으로 물에 젖은 상태에서도 미끄럽지 않고 안전하며, 휴판넬은 바닥부터 천장까지 이어지는 대형 판넬로 이음매를 최소화하여 청소와 관리가 용이합니다."
1018608,판넬바스,[특가~9/29]리버화이트 실속패키지 (1+1 욕실패키지),2867480,https://image.hanssem.com/hsimg/gds/1050/1018/1018608_A1.jpg?v=20250811102512,"밀란3 리버화이트 실속패키지 (욕실 패키지 + 욕실 액세서리 3종 세트)  오랜 시간이 지나도 지루하지 않고 유행에 민감하지 않은 자연스러운 욕실 공간을 만나보세요.  컴팩트한 원도어 슬라이딩장 수납 문제를 깔끔하게 해결해 주는 원도어 슬라이딩장. 슬라이딩장은 여닫이형에 비해 아이들도 쉽게 사용할 수 있습니다. 도어 개폐 시 차지하는 공간도 적어 소형 욕실 공간에 실용적입니다.  오랫동안 사랑받을 리얼 스톤 디자인 마감재 끊임없이 이어지는 자연스러운 마블 패턴이 욕실 공간을 더욱 시원하고 넓어 보이게 연출해 줍니다.  청소와 관리가 용이한 안전한 욕실 휴플로어, 휴판넬 휴플로어는 특수 엠보싱 표면 가공으로 물에 젖은 상태에서도 미끄럽지 않고 안전하며, 휴판넬은 바닥부터 천장까지 이어지는 대형 판넬로 이음매를 최소화하여 청소와 관리가 용이합니다.  쉽게 녹슬지 않아 관리가 쉬워지는 편리성 한샘 바스는 내부 자재, 접착제, 부속 자재까지 E0 등급의 친환경 소재를 적용합니다.  원자재 자체가 튼튼하고 충격에 강한 안정성 대리석/유리 강도 테스트를 진행해 충격에 의한 안정성을 검증한 한샘 바스입니다."
1064595,판넬바스,밀란 3 피에트라,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064595_A1.jpg?v=20240724081423,"밀란3 피에트라  웅장한 대리석 패턴을 합리적 가격에 담은 욕실입니다. 무게감 있는 그레이 욕실에 미니멀한 디자인의 블랙 포인트를 준 트렌디한 공간입니다.  스타일을 더해주는 플랩장 블랙 전면의 막힘없는 거울 도어는 좁은 공간을 더욱 넓어 보이게 합니다. 내부의 넉넉한 수납 공간은 다양한 욕실용품을 수납하기에 충분하며 하부의 선반은 자주 사용하는 물건을 편리라게 수납할 수 있습니다.  최신 트렌드를 반영한 신규 휴판넬 고가 인테리어 마감재에 속하는 대형 대리석 타일의 패턴을 판넬에 적용한 피에트라 판넬입니다. 판넬과 컬러에서 오는 분위기가 욕실에 품격을 더해줍니다.  청소와 관리가 용이한 안전한 욕실 휴플로어, 휴판넬 휴플로어는 특수 엠보싱 표면 가공으로 물에 젖은 상태에서도 미끄럽지 않고 안전하며, 휴판넬은 바닥부터 천장까지 이어지는 대형 판넬로 이음매를 최소화하여 청소와 관리가 용이합니다."
1064269,타일바스,바흐5 프리모 화이트,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064269_A1.jpg?v=20240724081423,"바흐5 프리모 화이트  클래식함과 모던함을 동시에 느낄 수 있는 바흐5 프리모 화이트. 타일, 수전 등의 아이템 코디에 따라 당신의 라이프스타일과 취향을 담아 표현할 수 있습니다.  우아한 디자인의 욕실 가구 디테일 디테일이 돋보이는 디자인의 하부장 도어가 클래식하고 우아한 분위기를 선사하며, KOHLER사의 세면기와 3홀 수전 아이템이 욕실 공간을 더욱 품격있게 만들어 줍니다.  KA 프리스탠딩 욕조와 KOHLER 프리스텐딩 욕조 수전 부드러운 라운드 형태의 욕조와 우아한 수전 시리즈만으로도 호텔 무드를 연출할 수 있습니다.  간편한 멀티 기능의 LED 조명 거울 시계 및 실내 온도 표시, 전면 터치형 스위치로 밝기 조절까지 가능해 나에게 맞춤 욕실 공간을 연출할 수 있습니다."
