상품ID,카테고리명,상품명,가격,Image URL,부가_설명
831966,중문,[특가~9/29]초슬림 3연동 중문,1025700,https://image.hanssem.com/hsimg/gds/1050/831/831966_A1.jpg?v=20250917142927,"초슬림 3연동 중문  22mm 슬림하고 안정적인 알루미늄 프레임에 미니멀한 감각을 살린 한샘 BEST 초슬림 3연동 중문입니다.  22mm 슬림 프레임 너무 얇지도 두껍지도 않은 두께로 안정감과 개방감을 도시에 충족합니다.  미니멀 핸들리스 디자인 핸들을 없앤 디자인으로 군더더기 없는 룩을 완성합니다.  디바이딩 도어 디자인 오픈형과 고시형의 장점을 모두 살린 디바이딩 타입으로 개방감과 프라이버시 보호를 동시에 누려보세요.  고품질 기능성 안전제품 KS기준 대비 2배 성능의 10만회 개폐테스트를 통과한 중문으로 포름알데하이드 걱정없이 안전까지 꼼꼼히 챙겨보세요.  최고급 원자재 사용 환경까지 생각한 최고급 도료, 시트 사용 3중 코팅 적용으로 견고하며 유지관리가 편합니다.  처음 품질 그대로 한샘이 직접 관리하는 전문 시공 및 A/S로 처음 품질을 그대로 유지할 수 있습니다."
1069579,중문,라이트 3연동 중문,견적상담,https://image.hanssem.com/hsimg/gds/1050/1069/1069579_A1.jpg?v=20250703162828,"라이트(Wright) 3연동 중문  리얼 디바이딩과 다양한 믹스 매치 유리 옵션으로 유러피안 스타일링 연출이 가능한 만족스러운 가격대의 한샘 중문입니다.  미니멀한 룩을 위해 더욱 가늘어진 18mm 프레임 문을 닫았을때도 현관이 시원해 보이는 슬림 레이아웃 디자인으로 미니멀한 공간을 완성합니다.  공간을 넓어보이게 연출하는 상부의 슬림 마감 더 높아진 문틀 제작높이로 상부 마감 공간을 최소화하여 쭉 뻗은 도어의 레이아웃이 우리집을 더 개방감 있는 공간으로 연출합니다.  인테리어는 조화가 핵심, 톤온톤 유리 옵션과 리얼 디바이딩 세심하고 다양한 유리 옵션과 리얼 디바이딩을 적용하여 유럽의 분위기를 연출하는 믹스 매치 유리로 우리집 인테리어만의 차별화를 만들 수 있습니다."
1064644,중문,유닛 슬라이딩,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064644_A1.jpg?v=20250826185955,유닛 슬라이딩 중문  남다른 기술력이 주는 부드러운 움직임. 다양한 디자인 옵션과 맞춤설계가 가능한 플랜으로 우리 집 공간을 완성해보세요.  다양한 유닛으로 맞춤 설계 가능한 중문 간살부터 라운드형 디자인까지 13가지의 디바이딩과 8가지의 유리 옵션 중 맞춤 설계할 수 있습니다.  슬림한 프레임 디자인 16mm 슬림한 프레임과 빗각 디자인으로 유리 면적이 넓어져 시원한 개방감을 선사합니다.  고급스러운 손잡이 여닫을 때 안정적인 개폐감을 느낄 수 있는 일체형 손잡이 입니다.
1064623,중문,초슬림 3연동,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064623_A1.jpg?v=20250917142222,초슬림 3연동  22mm 슬림하고 안정적인 알루미늄 프레임에 미니멀한 감각을 살린 한샘 BEST 초슬림 3연동 중문입니다.  22mm 슬림 프레임 너무 얇지도 두껍지도 않은 두께로 안정감과 개방감을 동시에 충족합니다.  미니멀 핸들리스 디자인 핸들을 없앤 디자인으로 군더더기 없는 룩을 완성합니다.  디바이딩 도어 디자인 오픈형과 고시형의 장점을 모두 살린 디바이딩 타입으로 개방감과 프라이버시 보호를 동시에 누려보세요.
1052538,중문,[특가~9/29]폴드윙 중문 (오픈/고시형),1293240,https://image.hanssem.com/hsimg/gds/1050/1052/1052538_A1.jpg?v=20250905095356,"폴드윙 중문  현관 사이즈가 좁다면 양쪽으로 열고 닫을 수 있는 중문을 추천합니다. 반자동 개폐에 세이프 댐핑까지 더해진 똑똑한 폴드윙 중문을 만나보세요.  폴드윙 도어 양방향으로 접히는 부드러운 스윙 도어로 좁은 현관에도 설치가 가능합니다.  효율적인 공간 활용 하부레일이나 문턱이 없어 공간 활용도가 높아집니다.  안전하고 손 쉬운 폴딩 반자동 개폐에 세이프 댐핑 기능이 더해져 안전하면서 손 쉬운 폴딩이 가능합니다.  고품질 기능성 안전제품 KS기준 대비 2배 성능의 10만회 개폐테스트를 통과한 중문으로 포름알데하이드 걱정없이 안전까지 꼼꼼히 챙겨보세요.  최고급 원자재 사용 환경까지 생각한 최고급 도료, 시트 사용 3중 코팅 적용으로 견고하며 유지관리가 편합니다.  처음 품질 그대로 한샘이 직접 관리하는 전문 시공 및 A/S로 처음 품질을 그대로 유지할 수 있습니다."
1064462,도어,안전 도어,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064462_A1.jpg?v=20240912141136,안전도어  도어 손끼임이 걱정된다면 한샘 안전도어를 선택하세요.  손끼임 방지 마감 캡 손끼임 방지 마감 캡 적용으로 문틀과 도어 사이의 틈을 없애 가정 내 손 끼임 사고를 예방합니다.  라운드 캡 디자인 깔끔한 라운드 캡 디자인에 도어와 동일 색상으로 마감하여 세련되고 일체감 있는 스타일을 제공합니다.  트리플 허니콤보드 도어 힘을 가장 균형 있게 배분하는 안정적 구조 형태인 허니콤 보드를 3단으로 적용해 내구성과 차음 성능을 높인 고품질 도어입니다.
1064642,중문,젠 슬라이딩,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064642_A1.jpg?v=20240911101420,"젠슬라이딩  조립식 간살구조로 우수한 마감품질과 젠 스타일의 우아함을 담은 한샘 젠슬라이딩으로 공간에 낭만을 더해보세요.  조립식 간살 구조 부착식이 아닌 조립식 구조를 적용하여 마감품질을 높였습니다.  매립형 하부레일 매립형 레일을 적용해 발걸림이 없고, 유지관리가 용이합니다.  젠글라스 경량화된 신소재를 사용하여 특수 공사 없이 간편한 시공이 가능합니다."
1064632,중문,폴드윙 중문,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064632_A1.jpg?v=20250813160815,폴드윙 중문  현관 사이즈가 좁다면 양쪽으로 열고 닫을 수 있는 중문을 추천합니다. 반자동 개폐에 세이프 댐핑까지 더해진 똑똑한 폴드윙 중문을 만나보세요.  폴드윙 도어 양방향으로 접히는 부드러운 스윙 도어로 좁은 현관에도 설치가 가능합니다.  효율적인 공간 활용 하부레일이나 문턱이 없어 공간 활용도가 높아집니다.  안전하고 손 쉬운 폴딩 반자동 개폐에 세이프 댐핑 기능이 더해져 안전하면서 손 쉬운 폴딩이 가능합니다.
1064621,중문,슬림소프트 3연동,견적상담,https://image.hanssem.com/hsimg/gds/1050/1064/1064621_A1.jpg?v=20240911095607,슬림소프트 3연동  친환경 소재에 세련된 디바이딩. 내 집을 더욱 안전하고 세련되게 바꿔보세요.  답답함은 줄이고 개방감은 높인 프레임 18mm 얇은 프레임으로 문을 닫아도 시원한 개방감을 줍니다.  3면 모헤어 마감과 충격방지 고무 가스켓 3면을 모헤어와 충격방지 고무 가스켓을 적용하여 단열 성능은 높이고 소음은 줄여줍니다.
997378,중문,[특가~9/29]슬림소프트 3연동 중문,1015560,https://image.hanssem.com/hsimg/gds/1050/997/997378_A1.jpg?v=20250905095519,"슬림소프트 3연동  친환경 소재에 세련된 디바이딩. 내 집을 더욱 안전하고 세련되게 바꿔보세요.  답답함은 줄이고 개방감은 높인 프레임 18mm 얇은 프레임으로 문을 닫아도 시원한 개방감을 줍니다.  3면 모헤어 마감과 충격방지 고무 가스켓 3면을 모헤어와 충격방지 고무 가스켓을 적용하여 단열 성능은 높이고 소음은 줄여줍니다.  고품질 기능성 안전제품 KS기준 대비 2배 성능의 10만회 개폐테스트를 통과한 중문으로 포름알데하이드 걱정없이 안전까지 꼼꼼히 챙겨보세요.  최고급 원자재 사용 환경까지 생각한 최고급 도료, 시트 사용 3중 코팅 적용으로 견고하며 유지관리가 편합니다.  처음 품질 그대로 한샘이 직접 관리하는 전문 시공 및 A/S로 처음 품질을 그대로 유지할 수 있습니다."
1052537,중문,[특가~9/29]라이트3연동 중문,781560,https://image.hanssem.com/hsimg/gds/1050/1052/1052537_A1.jpg?v=20250912153114,"라이트(Wright) 3연동 중문  리얼 디바이딩과 다양한 믹스 매치 유리 옵션으로 유러피안 스타일링 연출이 가능한 만족스러운 가격대의 한샘 중문입니다.  미니멀한 룩을 위해 더욱 가늘어진 18mm 프레임 문을 닫았을때도 현관이 시원해 보이는 슬림 레이아웃 디자인으로 미니멀한 공간을 완성합니다.  공간을 넓어보이게 연출하는 상부의 슬림 마감 더 높아진 문틀 제작높이로 상부 마감 공간을 최소화하여 쭉 뻗은 도어의 레이아웃이 우리집을 더 개방감 있는 공간으로 연출합니다.  인테리어는 조화가 핵심, 톤온톤 유리 옵션과 리얼 디바이딩 세심하고 다양한 유리 옵션과 리얼 디바이딩을 적용해 유럽의 분위기를 연출하는 믹스 매치 유리로 우리집 인테리어만의 차별화를 만들 수 있습니다.  고품질 기능성 안전제품 KS기준 대비 2배 성능의 10만회 개폐테스트를 통과한 중문으로 포름알데하이드 걱정없이 안전까지 꼼꼼히 챙겨보세요.  최고급 원자재 사용 환경까지 생각한 최고급 도료, 시트 사용 3중 코팅 적용으로 견고하며 유지관리가 편합니다.  처음 품질 그대로 한샘이 직접 관리하는 전문 시공 및 A/S로 처음 품질을 그대로 유지할 수 있습니다."
