상품ID,카테고리명,상품명,가격,Image URL
742366,테이블,클린트 모던 높은 거실장 200cm 서랍형 수납장(80cm 일반형 +120cm 서랍형) (3종 택1),428000,https://image.hanssem.com/hsimg/gds/1050/742/742366_A1.jpg?v=20250113101141
1098826,소파,테이즈 천연가죽 소파 3인(3종/택1),1299000,https://image.hanssem.com/hsimg/gds/1050/1098/1098826_A1.jpg?v=20250610141419
1031935,소파,베이크 패브릭소파 3.5인,798000,https://image.hanssem.com/hsimg/gds/1050/1031/1031935_A1.jpg?v=20250804101313
993094,소파,코타 천연가죽 소파 4인용,899000,https://image.hanssem.com/hsimg/gds/1050/993/993094_A1.jpg?v=20250804101312
822928,테이블,클린트 어반 매거진랙 수납장 80cm_서랍형,200000,https://image.hanssem.com/hsimg/gds/1050/822/822928_A1.jpg?v=20250113101141
1021360,소파,네피 패브릭 소파 4인 포인트 에디션,2119000,https://image.hanssem.com/hsimg/gds/1050/1021/1021360_A1.jpg?v=20240509100911
916927,소파,프리야 패브릭소파 3인용(2종/택1),1399000,https://image.hanssem.com/hsimg/gds/1050/916/916927_A1.jpg?v=20250804101312
995035,소파,레이어드 패브릭 소파 코너형 커버 (3종/택1),220000,https://image.hanssem.com/hsimg/gds/1050/995/995035_A1.jpg?v=20250820155244
958513,소파,MVME 트라움 라토 천연가죽 전동 리클라이너 소파 1인(2종/택1),949000,https://image.hanssem.com/hsimg/gds/1050/958/958513_A1.jpg?v=20250804101312
885924,테이블,클린트 어반 높이조절 리프트업 사이드테이블 60cm (3종 택1),165000,https://image.hanssem.com/hsimg/gds/1050/885/885924_A1.jpg?v=20250804101312
992748,테이블,유로 503 파사드 거실장 1450,537000,https://image.hanssem.com/hsimg/gds/1050/992/992748_A1.jpg?v=20250320133508
916186,테이블,[55딜]디어 오보에 거실장 세트 220cm (거실장 140cm + 보조수납장 83cm) (2종 택1),550000,https://image.hanssem.com/hsimg/gds/1050/916/916186_A1.jpg?v=20250804101312
1019500,소파,선데이 패브릭소파 4인 라운지형 트위드 원단 (2종/택1),3695000,https://image.hanssem.com/hsimg/gds/1050/1019/1019500_A1.jpg?v=20250421160920
1049171,테이블,블랑 루버 거실장 2500,820000,https://image.hanssem.com/hsimg/gds/1050/1049/1049171_A1.jpg?v=20250918173218
994737,소파,레이어드 패브릭 소파 컴팩트 3인오픈(암리스)_부클 원단 (4종/택1),1170000,https://image.hanssem.com/hsimg/gds/1050/994/994737_A1.jpg?v=20250804101312
742354,테이블,클린트 모던 높은 거실장 160cm 서랍형 수납장(80cm 서랍형 +80cm 서랍형) (3종 택1),398000,https://image.hanssem.com/hsimg/gds/1050/742/742354_A1.jpg?v=20250113101140
822930,테이블,클린트 어반 매거진랙 수납장 120cm_서랍형,250000,https://image.hanssem.com/hsimg/gds/1050/822/822930_A1.jpg?v=20250113101141
