상품ID,카테고리명,상품명,가격,Image URL
1066612,옷장,샘베딩 무드 옷장 80cm(높이194cm) 2단 행거형,219900,https://image.hanssem.com/hsimg/gds/1050/1066/1066612_A1.jpg?v=20240806095723
1100973,붙박이장,시그니처 리노아 붙박이장 화이트 수납파우더형(16종/택1),2449100,https://image.hanssem.com/hsimg/gds/1050/1100/1100973_A1.jpg?v=20250626112101
743248,드레스룸,스테이 드레스룸 세트 248cm 하부수납형,460000,https://image.hanssem.com/hsimg/gds/1050/743/743248_A1.jpg?v=20240809111527
775655,붙박이장,[특가~9/29]바이엘 소프트 슬라이딩 붙박이장 크림화이트(행거형/선반형/서랍형),1312000,https://image.hanssem.com/hsimg/gds/1050/775/775655_A1.jpg?v=20250403145709
868245,옷장,샘베딩 클로즈 옷장 40cm(높이216cm) 선반형 6종,179900,https://image.hanssem.com/hsimg/gds/1050/868/868245_A1.jpg?v=20240809134911
289945,옷장,샘베딩 클로즈 옷장 80cm(높이216cm) 행거서랍형 6종,307900,https://image.hanssem.com/hsimg/gds/1050/289/289945_A1.jpg?v=20240808145218
645163,"옷장, 드레스룸",[특가~9/29]샘베딩 드레스룸 세트 240cm(높이 216cm) 행거형 2종,349700,https://image.hanssem.com/hsimg/gds/1050/645/645163_A1.jpg?v=20240809111615
868244,옷장,샘베딩 클로즈 옷장 40cm(높이216cm) 1단행거형 6종,159900,https://image.hanssem.com/hsimg/gds/1050/868/868244_A1.jpg?v=20240809135006
171724,옷장,샘베딩 베이직 옷장 40cm(높이194cm) 선반서랍형 8종,219900,https://image.hanssem.com/hsimg/gds/1050/171/171724_A1.jpg?v=20240808135914
1066321,옷장,[특가~9/29]샘베딩 무드 옷장세트 120cm (높이194cm) 서랍형,437340,https://image.hanssem.com/hsimg/gds/1050/1066/1066321_A1.jpg?v=20240812182834
277074,옷장,피카 갤러리 옷장세트 화이트 140cm~350cm(높이216cm) 16종,529760,https://image.hanssem.com/hsimg/gds/1050/277/277074_A1.jpg?v=20250702150007
1046936,옷장,아트월 일반옷장 소프트화이트 50cm(높이216cm),184000,https://image.hanssem.com/hsimg/gds/1050/1046/1046936_A1.jpg?v=20250702135827
